,Date,SMB_Wt,HML_Wt,RMW_Wt,CMA_Wt,Mom   _Wt
304,2015-09,0.20539209713526016,0.19780699428732826,0.14031042996535456,0.08499905837917836,0.37149142023287873
305,2015-10,0.2229225165273728,0.16772236403494262,0.1857528556013845,0.1954286643367621,0.22817359949953797
306,2015-11,0.21902896126348137,0.14669522764346749,0.14126559011278148,0.2592812587205585,0.23372896225971135
307,2015-12,0.16428686311278037,0.02987088170985723,0.23227416106273463,0.24134523419300985,0.3322228599216179
308,2016-01,0.11124714791029278,0.18541378154395036,0.19462429079983964,0.24969973943027096,0.25901504031564615
309,2016-02,0.18715717037783042,0.22318492691750078,0.14790866595999264,0.13399248473528771,0.30775675200938846
310,2016-03,0.3010059782975208,0.16336218139296885,0.1639176092742696,0.17828254006666266,0.19343169096857804
311,2016-04,0.28725649447223045,0.05590532993981928,0.09302542776376327,0.2761289817654922,0.2876837660586948
312,2016-05,0.11052640436900654,0.07465725030617233,0.24701930533613148,0.18542801774402828,0.38236902224466135
313,2016-06,0.09496129952088914,0.23627927171313845,0.24744078636934824,0.11714991053095586,0.3041687318656684
314,2016-07,0.1848765041876758,0.15953137181016253,0.17076964964561195,0.20865844544306214,0.2761640289134877
315,2016-08,0.25105920740310667,0.1321013317753533,0.11539765318947098,0.18608563844421327,0.31535616918785575
316,2016-09,0.25112312217610017,0.10736690754843341,0.14399149625832183,0.19484393442043463,0.30267453959670987
317,2016-10,0.09824052603329228,0.19823480614702113,0.21426110281304675,0.20551347760467226,0.2837500874019676
318,2016-11,0.181609093822858,0.2364898918337786,0.14515554639967967,0.19387401122713563,0.24287145671654817
319,2016-12,0.18390528774471526,0.10820043479135354,0.21696366150861948,0.22588729139092512,0.26504332456438673
320,2017-01,0.19737192849604326,0.24018814438156572,0.3641707151691021,0.02740247515945795,0.17086673679383105
321,2017-02,0.097091621567308,0.24368535064107527,0.28510600395184205,0.15301699485697381,0.22110002898280082
322,2017-03,0.16893633490815768,0.19746574207945086,0.18822019306513338,0.14427687445381118,0.3011008554934469
323,2017-04,0.20753934675298247,0.1456189983489948,0.16575425710003902,0.23507957238068194,0.24600782541730165
324,2017-05,0.2767141286434514,0.1647464233043343,0.08646847079711063,0.203075006098803,0.26899597115630075
325,2017-06,0.2244944952734685,0.1859330858058672,0.11024019237107754,0.2065571650918353,0.2727750614577514
326,2017-07,0.2520517388275949,0.18377943785056383,0.11652735656567054,0.1253604710874621,0.3222809956687087
327,2017-08,0.18920841636558883,0.19253763850118208,0.14411660644226135,0.28988547253596164,0.18425186615500622
328,2017-09,0.22003757109394015,0.19269340393374962,0.13381386855001462,0.23424499038494367,0.21921016603735205
