date,momentum,profitability,quality,short_term_reversal,size,value
1927-01-31,9.989468217092372e-06,0.08662438667871564,0.4681058766483877,0.24504146387741704,9.71796034133127e-06,0.2002085653669211
1927-02-28,0.48147820561681337,5.309538620310141e-06,0.036089241350554455,0.20949126201473858,0.21260327213493935,0.06033270934433393
1927-03-31,9.230422098111052e-05,0.22741485217285276,0.0001221531058634245,0.6159777851115953,0.1563570313279663,3.587406074113841e-05
1927-04-30,8.717624261994245e-05,8.681996994835265e-06,7.495543705892542e-05,0.1777098441670036,0.21179552402058835,0.6103238181357343
1927-05-31,3.635166474968029e-05,0.6890450685244872,4.250298429537888e-05,0.1395287279743056,0.1099570294151595,0.0613903194370024
1927-06-30,1.5677396332134557e-05,0.045714814089505056,1.1766224294503744e-05,7.853158607412485e-07,8.130604008394482e-06,0.9542488263699991
1927-07-31,0.0004159400577860049,0.000645493421830609,0.00040819466452217027,0.00018990551395048523,0.9981377354632026,0.00020273087870811311
1927-08-31,0.14904760380708612,0.09066081265205732,0.0638501436897222,0.6964296189855017,5.50523152283377e-07,1.1270342480365443e-05
1927-09-30,0.00010465734417408097,8.926768879464042e-05,8.099273857030772e-05,0.5465737397512421,0.15060063192732595,0.30255071054989285
1927-10-31,8.73898334037923e-07,0.03354731588354242,0.13998377025020964,0.8264403472938321,2.0589975374496284e-05,7.1026987072822986e-06
1927-11-30,3.558740254517144e-06,1.0633176414032406e-05,6.015532180677459e-07,0.9999708424458958,7.86193239257167e-06,6.502151825005371e-06
1927-12-31,0.2826882083587151,0.1615509678325153,0.2864663812304351,0.08758942276678784,0.02869818108706952,0.1530068387244773
1928-01-31,7.955108117804495e-06,0.07066322573671542,8.964249560994775e-06,0.8603331818131956,9.577075616827986e-06,0.06897709601679339
1928-02-29,0.43548540331150776,0.3295863730224147,0.234882673473699,1.4239384250814261e-05,3.5149245946195234e-06,2.7795883533059968e-05
1928-03-31,3.320627879932822e-05,2.8205899823766752e-05,3.694835851683398e-05,0.7889597551745063,0.16619869335953386,0.044743190928819815
1928-04-30,0.3178218159025386,0.2569771856341983,0.08113745951158427,0.22600140835188212,0.00018469004650678987,0.11787744055329008
1928-05-31,0.3080312482235855,0.09398480874240835,0.314002227038174,0.14070957688957805,0.06747102552741305,0.07580111357884123
1928-06-30,3.0212297827394198e-05,0.00043195276372272844,7.859963269673372e-05,0.00024911910608256993,0.9989442768335463,0.00026583936612431167
1928-07-31,7.70755947610165e-05,5.714400466550008e-05,0.00010296740449926142,4.922622427864058e-05,0.27783998694120143,0.7218735998305941
1928-08-31,0.00010734319293839643,0.00011527323258979009,0.43160019349998124,0.19880583252363374,0.09927275504525943,0.27009860250559753
1928-09-30,8.15260158625796e-05,4.9363507787775764e-05,0.999798062237529,4.5625406893333494e-06,5.76171383839352e-05,8.868559747542391e-06
1928-10-31,6.326344016502408e-05,4.265865980156988e-05,3.457982296650584e-05,0.5795299391909109,0.35857977543264896,0.06174978345350696
